Anne	Campbell	Cambridge	£19,722	£0	£18,234	£58,884	£2,597	£73	£918	£1,787	£1,065
Gregory	Campbell	East Londonderry	£18,900	£0	£12,173	£61,575	£21,488	£703	£875	£2,010	£1,500
Menzies	Campbell	North East Fife	£12,098	£0	£12,586	£62,728	£11,793	£808	£640	£1,725	£0
Ronnie	Campbell	Blyth Valley	£19,721	£0	£18,234	£61,980	£17,028	£1,195	£30	£1,866	£1,500
Ivor	Caplin	Hove	£19,722	£1,527	£18,212	£65,055	£13,182	£186	£1,011	£1,987	£0
Alistair	Carmichael	Orkney & Shetland	£19,722	£0	£18,229	£64,111	£27,366	£2,671	£261	£1,351	£0
Roger	Casale	Wimbledon	£18,750	£0	£18,234	£72,310	£4,907	£0	£824	£1,953	£3,175
William	Cash	Stone	£19,600	£0	£17,613	£60,633	£14,165	£1,111	£276	£917	£0
Martin	Caton	Gower	£14,687	£0	£14,897	£65,596	£7,388	£40	£725	£1,562	£0
Ian	Cawsey	Brigg & Goole	£18,850	£0	£18,066	£61,544	£20,313	£1,166	£1,138	£2,034	£0
Colin	Challen	Morley & Rothwell	£16,689	£0	£18,110	£60,681	£11,389	£1,911	£1,724	£1,831	£0
Ben	Chapman	Wirral South	£19,722	£0	£18,032	£62,101	£24,701	£0	£1,165	£1,892	£0
Sydney	Chapman	Chipping Barnet	£18,309	£0	£18,234	£72,010	£2,867	£0	£1,429	£1,903	£0
David	Chaytor	Bury North	£19,722	£0	£18,223	£63,020	£10,623	£0	£1,499	£1,966	£0
David	Chidgey	Eastleigh	£19,722	£0	£17,016	£70,633	£13,479	£137	£1,021	£1,953	£0
Christopher	Chope	Christchurch	£19,526	£0	£17,654	£58,865	£7,250	£405	£960	£1,420	£0
Michael	Clapham	Barnsley West & Penistone	£16,083	£0	£10,203	£52,461	£10,979	£388	£1,249	£1,799	£0
James	Clappison	Hertsmere	£19,092	£0	£18,234	£64,822	£9,249	£0	£300	£1,265	£0
Helen	Clark	Peterborough	£19,722	£0	£18,234	£68,917	£6,535	£158	£804	£1,911	£0
Lynda	Clark	Edinburgh, Pentlands	£19,722	£1,527	£11,165	£37,192	£13,585	£0	£342	£0	£0
Paul	Clark	Gillingham	£19,381	£0	£17,399	£60,297	£8,577	£11	£1,764	£1,974	£0
Charles	Clarke	Norwich South	£19,722	£665	£18,234	£61,787	£5,279	£0	£605	£1,459	£0
Kenneth	Clarke	Rushcliffe	£13,653	£0	£4,761	£67,404	£6,287	£0	£909	£1,457	£0
Tom	Clarke	Coatbridge & Chryston	£19,722	£0	£18,234	£61,451	£20,386	£972	£1,038	£1,757	£0
Tony	Clarke	Northampton South	£18,160	£0	£17,650	£65,596	£4,639	£399	£1,285	£1,954	£320
David	Clelland	Tyne Bridge	£19,722	£0	£18,234	£58,764	£20,035	£1,771	£992	£1,934	£0
Geoffrey	Clifton-Brown	Cotswold	£17,321	£0	£16,452	£65,596	£6,178	£114	£925	£2,002	£0
Ann	Clwyd	Cynon Valley	£3,618	£0	£14,967	£56,997	£10,031	£294	£836	£1,975	£0
Vernon	Coaker	Gedling	£13,700	£0	£18,234	£61,752	£8,550	£978	£2,476	£1,923	£280
Ann	Coffey	Stockport	£18,360	£0	£17,861	£61,736	£15,286	£542	£534	£2,021	£0
Harry	Cohen	Leyton & Wanstead	£19,722	£0	£18,234	£72,309	£3,225	£0	£1,593	£1,736	£0
