														MP Travel: regular journeys between home/constituency/Westminster				MP Travel: Other				MP Spouse Travel		MP Family Travel		MP Employee Travel	
Member		TOTAL ALLOWANCES CLAIMED, INC TRAVEL	TOTAL BASIC ALLOWANCES, EXC TRAVEL	TOTAL TRAVEL CLAIMED	Cost of staying away from main home	London supplement	Office running costs	Staffing costs	Centrally purchased stationery	Stationery associated postage costs	Central IT provision	Staff cover and other costs	Comms allowance	Mileage	MP Rail	MP Air	MP Misc (see notes)	MP other Mileage	MP other Rail	MP other Air	MP other European	Spouse Total	No. of Journeys	Family Total	No. of Journeys	Employee Total	No. of Journeys
Osborne	Mr George	£151,015.00	£135,918.00	£15,097.00	£22,994.00	£0.00	£18,729.00	£78,767.00	£639.00	£3,517.00	£1,307.00	£0.00	£9,965.00	£1,778.00	£6,169.00	£729.00	£167.00	£0.00	£468.00	£0.00	£0.00	£2,968.00	21	£1,271.00	21	£1,547.00	10
McAvoy	Rt Hon Thomas	£150,976.00	£135,693.00	£15,283.00	£22,150.00	£0.00	£17,167.00	£86,913.00	£191.00	£425.00	£841.00	£0.00	£8,006.00	£2,670.00	£2,037.00	£10,282.00	£0.00	£0.00	£0.00	£0.00	£0.00	£294.00	2	£0.00	0	£0.00	0
Murphy	Rt Hon Paul	£150,923.00	£143,987.00	£6,936.00	£20,536.00	£0.00	£17,774.00	£93,617.00	£472.00	£827.00	£1,328.00	£0.00	£9,433.00	£3,640.00	£1,224.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£2,072.00	24
Rogerson	Dan	£150,809.00	£138,128.00	£12,681.00	£22,931.00	£0.00	£13,432.00	£87,905.00	£754.00	£2,055.00	£966.00	£305.00	£9,780.00	£3,448.00	£6,817.00	£0.00	£634.00	£0.00	£49.00	£0.00	£0.00	£475.00	4	£0.00	0	£1,258.00	16
Kidney	Mr David	£150,722.00	£144,475.00	£6,247.00	£19,680.00	£0.00	£21,442.00	£89,082.00	£1,796.00	£3,774.00	£1,220.00	£0.00	£7,481.00	£0.00	£5,105.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£202.00	4	£0.00	0	£940.00	22
Irranca-Davies	Huw	£150,708.00	£144,561.00	£6,147.00	£19,434.00	£0.00	£21,637.00	£91,779.00	£1,260.00	£4,500.00	£1,335.00	£0.00	£4,616.00	£4,023.00	£1,552.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£315.00	6	£109.00	6	£148.00	4
Primarolo	Rt Hon Dawn	£150,616.00	£144,647.00	£5,969.00	£23,083.00	£0.00	£18,050.00	£90,500.00	£581.00	£1,511.00	£1,192.00	£0.00	£9,730.00	£860.00	£4,455.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£654.00	10
Bryant	Chris	£150,401.00	£138,173.00	£12,228.00	£23,083.00	£0.00	£15,193.00	£88,356.00	£467.00	£990.00	£1,204.00	£0.00	£8,880.00	£3,082.00	£5,242.00	£0.00	£1.00	£0.00	£102.00	£0.00	£1,951.00	£0.00	0	£0.00	0	£1,850.00	22
Atkinson	Mr Peter	£150,370.00	£136,444.00	£13,926.00	£23,083.00	£0.00	£17,811.00	£87,025.00	£416.00	£2,119.00	£1,119.00	£0.00	£4,871.00	£3,295.00	£4,443.00	£2,231.00	£93.00	£0.00	£0.00	£0.00	£0.00	£3,758.00	29	£0.00	0	£106.00	1
Stuart	Mr Graham	£150,286.00	£143,009.00	£7,277.00	£22,410.00	£0.00	£23,206.00	£87,418.00	£1,169.00	£3,023.00	£1,104.00	£0.00	£4,679.00	£1,232.00	£4,062.00	£0.00	£21.00	£0.00	£23.00	£0.00	£1,143.00	£578.00	9	£70.00	2	£148.00	8
Todd	Mr Mark	£150,264.00	£140,223.00	£10,041.00	£19,023.00	£0.00	£13,112.00	£93,906.00	£1,093.00	£2,809.00	£1,194.00	£0.00	£9,086.00	£4,129.00	£3,989.00	£0.00	£349.00	£0.00	£0.00	£0.00	£0.00	£1,123.00	18	£0.00	0	£451.00	10
Coffey	Ann	£150,246.00	£139,976.00	£10,270.00	£21,985.00	£0.00	£19,447.00	£86,421.00	£1,383.00	£1,915.00	£1,496.00	£0.00	£7,329.00	£2,550.00	£6,240.00	£0.00	£961.00	£0.00	£0.00	£0.00	£0.00	£308.00	4	£0.00	0	£211.00	5
Smith	Ms Angela C.	£150,240.00	£139,336.00	£10,904.00	£22,843.00	£0.00	£14,575.00	£86,090.00	£1,319.00	£3,630.00	£1,138.00	£0.00	£9,741.00	£2,828.00	£4,829.00	£0.00	£16.00	£78.00	£0.00	£0.00	£0.00	£1,951.00	27	£96.00	2	£1,106.00	14
Mudie	Mr George	£150,139.00	£136,526.00	£13,613.00	£9,635.00	£0.00	£19,648.00	£92,025.00	£1,171.00	£3,627.00	£1,238.00	£0.00	£9,182.00	£4,591.00	£6,439.00	£735.00	£516.00	£0.00	£0.00	£0.00	£0.00	£667.00	4	£0.00	0	£665.00	4
Grayling	Chris	£150,028.00	£139,923.00	£10,105.00	£15,332.00	£0.00	£22,143.00	£89,699.00	£927.00	£1,220.00	£1,163.00	£0.00	£9,439.00	£1,499.00	£2,216.00	£0.00	£469.00	£1,209.00	£4,307.00	£0.00	£0.00	£225.00	30	£0.00	0	£180.00	24
Howarth	Mr Gerald	£150,017.00	£145,046.00	£4,971.00	£23,083.00	£0.00	£15,994.00	£88,011.00	£286.00	£864.00	£1,141.00	£0.00	£15,667.00	£3,108.00	£238.00	£0.00	£0.00	£418.00	£464.00	£0.00	£383.00	£360.00	8	£0.00	0	£0.00	0
Lilley	Rt Hon Peter	£149,987.00	£146,932.00	£3,055.00	£23,083.00	£0.00	£17,520.00	£94,322.00	£1,695.00	£5,239.00	£1,396.00	£0.00	£3,677.00	£2,335.00	£333.00	£0.00	£10.00	£12.00	£130.00	£0.00	£0.00	£69.00	7	£0.00	0	£166.00	18
Howarth	Rt Hon George	£149,809.00	£134,429.00	£15,380.00	£13,896.00	£0.00	£15,094.00	£92,979.00	£679.00	£1,688.00	£1,459.00	£0.00	£8,634.00	£2,216.00	£11,740.00	£386.00	£0.00	£48.00	£0.00	£0.00	£0.00	£990.00	10	£0.00	0	£0.00	0
Price	Adam	£149,664.00	£138,870.00	£10,794.00	£22,788.00	£0.00	£19,065.00	£90,773.00	£283.00	£510.00	£1,440.00	£0.00	£4,011.00	£4,619.00	£4,626.00	£0.00	£45.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£1,504.00	24
Engel	Mrs Natascha	£149,621.00	£142,779.00	£6,842.00	£20,267.00	£0.00	£16,923.00	£90,183.00	£793.00	£2,124.00	£966.00	£0.00	£11,523.00	£4,825.00	£1,092.00	£0.00	£0.00	£0.00	£9.00	£0.00	£0.00	£372.00	12	£0.00	0	£544.00	14
Willott	Jenny	£149,594.00	£143,776.00	£5,818.00	£23,083.00	£0.00	£19,903.00	£88,328.00	£521.00	£1,405.00	£1,269.00	£0.00	£9,267.00	£1,992.00	£2,532.00	£0.00	£406.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£888.00	18
Holloway	Mr Adam	£149,535.00	£146,933.00	£2,602.00	£22,587.00	£0.00	£13,598.00	£85,166.00	£957.00	£2,553.00	£1,009.00	£0.00	£21,063.00	£2,306.00	£45.00	£0.00	£15.00	£236.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Michael	Rt Hon Alun	£149,518.00	£138,871.00	£10,647.00	£23,083.00	£0.00	£15,828.00	£86,400.00	£591.00	£1,248.00	£1,891.00	£0.00	£9,830.00	£4,087.00	£4,763.00	£0.00	£0.00	£0.00	£326.00	£0.00	£0.00	£927.00	16	£0.00	0	£544.00	8
Clappison	Mr James	£149,498.00	£140,180.00	£9,318.00	£15,916.00	£0.00	£13,908.00	£96,998.00	£828.00	£2,248.00	£1,178.00	£0.00	£9,104.00	£1,445.00	£6,456.00	£284.00	£0.00	£0.00	£0.00	£0.00	£0.00	£877.00	27	£256.00	18	£0.00	0
Penning	Mike	£149,487.00	£143,827.00	£5,660.00	£23,083.00	£0.00	£21,572.00	£83,479.00	£1,525.00	£4,557.00	£1,199.00	£0.00	£8,412.00	£5,088.00	£88.00	£0.00	£63.00	£120.00	£301.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Garnier	Mr Edward	£149,484.00	£139,646.00	£9,838.00	£23,080.00	£0.00	£15,648.00	£91,243.00	£399.00	£1,963.00	£1,008.00	£0.00	£6,305.00	£6,931.00	£783.00	£0.00	£102.00	£138.00	£275.00	£0.00	£781.00	£615.00	18	£213.00	11	£0.00	0
Djanogly	Mr Jonathan	£149,397.00	£143,758.00	£5,639.00	£19,736.00	£0.00	£16,512.00	£87,925.00	£801.00	£3,574.00	£1,249.00	£5,048.00	£8,913.00	£3,130.00	£2,260.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£10.00	0	£10.00	1	£229.00	10
Durkan	Mark	£149,364.00	£136,826.00	£12,538.00	£20,796.00	£0.00	£21,882.00	£85,326.00	£237.00	£545.00	£1,199.00	£0.00	£6,841.00	£1,721.00	£707.00	£8,125.00	£62.00	£0.00	£0.00	£0.00	£0.00	£661.00	2	£601.00	4	£661.00	4
Lucas	Ian	£149,321.00	£137,011.00	£12,310.00	£23,083.00	£0.00	£21,261.00	£83,671.00	£705.00	£1,795.00	£1,219.00	£0.00	£5,277.00	£1,206.00	£9,355.00	£282.00	£353.00	£0.00	£289.00	£0.00	£0.00	£598.00	4	£227.00	8	£0.00	0
Foster	Michael Jabez	£149,318.00	£144,864.00	£4,454.00	£14,990.00	£0.00	£28,852.00	£82,992.00	£1,962.00	£4,760.00	£1,308.00	£0.00	£10,000.00	£3,084.00	£802.00	£0.00	£193.00	£0.00	£12.00	£0.00	£0.00	£97.00	14	£0.00	0	£266.00	10
Hemming	John	£149,288.00	£145,243.00	£4,045.00	£21,375.00	£0.00	£29,031.00	£82,588.00	£871.00	£3,768.00	£1,297.00	£0.00	£6,313.00	£1,415.00	£1,737.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£667.00	16	£226.00	6	£0.00	0
Hunter	Mark	£149,081.00	£141,826.00	£7,255.00	£19,789.00	£0.00	£18,445.00	£90,316.00	£1,410.00	£3,422.00	£1,048.00	£0.00	£7,396.00	£1,159.00	£5,524.00	£0.00	£0.00	£0.00	£17.00	£0.00	£0.00	£199.00	5	£136.00	5	£220.00	7
David	Mr Wayne	£149,036.00	£137,844.00	£11,192.00	£22,700.00	£0.00	£13,171.00	£97,670.00	£620.00	£1,886.00	£1,250.00	£0.00	£547.00	£2,746.00	£6,594.00	£0.00	£59.00	£0.00	£0.00	£0.00	£1,474.00	£0.00	0	£0.00	0	£319.00	8
Clegg	Rt Hon Nick	£149,026.00	£141,934.00	£7,092.00	£23,083.00	£0.00	£20,678.00	£90,505.00	£961.00	£2,067.00	£937.00	£0.00	£3,703.00	£1,780.00	£3,355.00	£0.00	£98.00	£0.00	£868.00	£787.00	£111.00	£54.00	2	£39.00	2	£0.00	0
Burt	Lorely	£149,002.00	£142,298.00	£6,704.00	£21,398.00	£0.00	£20,744.00	£89,154.00	£1,188.00	£3,077.00	£1,128.00	£0.00	£5,609.00	£3,101.00	£2,422.00	£0.00	£0.00	£296.00	£214.00	£0.00	£0.00	£245.00	12	£0.00	0	£426.00	18
Moss	Mr Malcolm	£148,970.00	£142,605.00	£6,365.00	£23,059.00	£0.00	£20,881.00	£89,351.00	£876.00	£1,790.00	£1,134.00	£0.00	£5,514.00	£4,828.00	£1,114.00	£0.00	£62.00	£0.00	£0.00	£0.00	£0.00	£262.00	5	£0.00	0	£99.00	2
Cameron	Rt Hon David	£148,829.00	£146,743.00	£2,086.00	£19,626.00	£0.00	£7,588.00	£103,630.00	£2,594.00	£4,399.00	£1,294.00	£5,412.00	£2,200.00	£997.00	£89.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£652.00	25	£0.00	0	£348.00	20
Berry	Dr Roger	£148,799.00	£141,806.00	£6,993.00	£20,781.00	£0.00	£20,940.00	£87,024.00	£1,244.00	£2,385.00	£1,275.00	£0.00	£8,157.00	£5,095.00	£0.00	£0.00	£119.00	£0.00	£0.00	£0.00	£722.00	£358.00	5	£0.00	0	£699.00	8
Coaker	Mr Vernon	£148,767.00	£139,632.00	£9,135.00	£12,404.00	£0.00	£24,011.00	£86,929.00	£1,380.00	£3,909.00	£1,196.00	£0.00	£9,803.00	£1,735.00	£6,200.00	£0.00	£0.00	£0.00	£91.00	£0.00	£0.00	£1,011.00	16	£0.00	0	£98.00	6
Love	Mr Andy	£148,757.00	£146,216.00	£2,541.00	£23,083.00	£0.00	£19,418.00	£87,933.00	£1,952.00	£5,046.00	£1,413.00	£0.00	£7,371.00	£1,326.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£1,194.00	£0.00	0	£0.00	0	£21.00	13
Illsley	Mr Eric	£148,698.00	£134,991.00	£13,707.00	£22,869.00	£0.00	£14,714.00	£90,662.00	£227.00	£340.00	£956.00	£0.00	£5,223.00	£6,285.00	£3,001.00	£0.00	£10.00	£0.00	£0.00	£0.00	£0.00	£4,273.00	30	£0.00	0	£138.00	2
Hoyle	Mr Lindsay	£148,685.00	£133,783.00	£14,902.00	£20,502.00	£0.00	£20,782.00	£81,864.00	£470.00	£1,290.00	£1,179.00	£5,133.00	£2,563.00	£8,203.00	£2,568.00	£436.00	£0.00	£0.00	£0.00	£0.00	£0.00	£2,785.00	30	£0.00	0	£910.00	10
Holmes	Paul	£148,542.00	£139,923.00	£8,619.00	£19,811.00	£0.00	£21,304.00	£88,248.00	£1,375.00	£1,630.00	£1,206.00	£0.00	£6,349.00	£1,815.00	£6,305.00	£0.00	£0.00	£169.00	£96.00	£0.00	£0.00	£0.00	0	£54.00	1	£180.00	6
Smith	John	£148,514.00	£139,355.00	£9,159.00	£23,083.00	£0.00	£18,453.00	£77,861.00	£731.00	£3,277.00	£983.00	£0.00	£14,967.00	£4,904.00	£3,768.00	£0.00	£129.00	£0.00	£47.00	£0.00	£0.00	£311.00	3	£0.00	0	£0.00	0
Duncan	Mr Alan	£148,448.00	£140,847.00	£7,601.00	£23,027.00	£0.00	£26,763.00	£82,886.00	£499.00	£2,538.00	£1,111.00	£0.00	£4,023.00	£5,203.00	£1,486.00	£0.00	£0.00	£0.00	£600.00	£0.00	£0.00	£0.00	0	£0.00	0	£312.00	3
Leech	Mr John	£148,434.00	£140,368.00	£8,066.00	£12,993.00	£0.00	£17,380.00	£94,425.00	£970.00	£3,820.00	£1,008.00	£0.00	£9,772.00	£4,433.00	£2,622.00	£0.00	£164.00	£0.00	£0.00	£0.00	£441.00	£0.00	0	£0.00	0	£406.00	12
Soames	Hon Nicholas	£148,424.00	£146,432.00	£1,992.00	£21,869.00	£0.00	£19,322.00	£89,677.00	£527.00	£1,846.00	£1,376.00	£0.00	£11,815.00	£1,837.00	£145.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£10.00	2
Maude	Rt Hon Francis	£148,402.00	£140,719.00	£7,683.00	£23,083.00	£0.00	£18,950.00	£87,784.00	£554.00	£1,378.00	£1,111.00	£0.00	£7,859.00	£1,854.00	£1,971.00	£0.00	£254.00	£0.00	£3,509.00	£0.00	£0.00	£72.00	7	£23.00	2	£0.00	0
Hendry	Charles	£148,399.00	£142,412.00	£5,987.00	£23,083.00	£0.00	£23,703.00	£81,821.00	£718.00	£2,327.00	£1,039.00	£0.00	£9,721.00	£2,499.00	£772.00	£0.00	£341.00	£248.00	£1,157.00	£579.00	£0.00	£376.00	15	£15.00	2	£0.00	0
Davey	Mr Edward	£148,201.00	£146,197.00	£2,004.00	£0.00	£2,812.00	£26,281.00	£85,362.00	£1,109.00	£2,137.00	£1,203.00	£17,603.00	£9,690.00	£0.00	£1,784.00	£0.00	£0.00	£0.00	£0.00	£0.00	£220.00	£0.00	0	£0.00	0	£0.00	0
Burt	Alistair	£148,172.00	£139,661.00	£8,511.00	£22,322.00	£0.00	£23,161.00	£84,767.00	£523.00	£1,398.00	£1,135.00	£0.00	£6,355.00	£3,384.00	£1,568.00	£0.00	£0.00	£73.00	£990.00	£0.00	£1,607.00	£568.00	30	£0.00	0	£321.00	17
James	Mrs Sian C.	£148,151.00	£138,684.00	£9,467.00	£21,070.00	£0.00	£18,431.00	£90,619.00	£818.00	£1,490.00	£1,290.00	£0.00	£4,966.00	£0.00	£8,573.00	£0.00	£0.00	£0.00	£9.00	£0.00	£0.00	£583.00	4	£0.00	0	£302.00	2
MacNeil	Mr Angus	£148,147.00	£110,116.00	£38,031.00	£20,228.00	£0.00	£16,743.00	£70,096.00	£70.00	£770.00	£1,173.00	£0.00	£1,036.00	£1,600.00	£4,148.00	£28,137.00	£1,384.00	£0.00	£0.00	£0.00	£1,053.00	£482.00	3	£1,018.00	8	£209.00	4
Jones	Mr David	£148,146.00	£136,473.00	£11,673.00	£22,632.00	£0.00	£18,588.00	£81,955.00	£497.00	£2,011.00	£984.00	£0.00	£9,806.00	£3,870.00	£5,312.00	£1,294.00	£385.00	£56.00	£0.00	£0.00	£0.00	£560.00	7	£0.00	0	£196.00	4
Keen	Alan	£147,976.00	£146,408.00	£1,568.00	£19,855.00	£0.00	£13,449.00	£97,101.00	£1,543.00	£3,549.00	£1,125.00	£0.00	£9,786.00	£1,448.00	£0.00	£0.00	£120.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Crausby	Mr David	£147,942.00	£138,012.00	£9,930.00	£23,083.00	£0.00	£19,137.00	£85,344.00	£334.00	£1,190.00	£1,261.00	£0.00	£7,663.00	£8,140.00	£213.00	£228.00	£0.00	£0.00	£0.00	£0.00	£0.00	£1,349.00	14	£0.00	0	£0.00	0
Fisher	Mark	£147,664.00	£139,360.00	£8,304.00	£23,083.00	£0.00	£8,211.00	£99,814.00	£493.00	£600.00	£1,219.00	£0.00	£5,940.00	£6,816.00	£1,248.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£240.00	4
Gapes	Mike	£147,663.00	£143,829.00	£3,834.00	£22,291.00	£0.00	£20,616.00	£91,227.00	£572.00	£1,800.00	£1,425.00	£0.00	£5,898.00	£2,402.00	£1,387.00	£0.00	£12.00	£6.00	£27.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Blunkett	Rt Hon David	£147,572.00	£144,517.00	£3,055.00	£23,083.00	£0.00	£17,624.00	£87,928.00	£1,071.00	£3,183.00	£1,309.00	£0.00	£10,319.00	£1,098.00	£1,808.00	£0.00	£0.00	£0.00	£149.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Hewitt	Rt Hon Patricia	£147,537.00	£144,033.00	£3,504.00	£12,470.00	£0.00	£25,612.00	£86,185.00	£1,914.00	£5,084.00	£1,437.00	£2,022.00	£9,309.00	£0.00	£3,136.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£104.00	2	£0.00	0	£264.00	6
McKechin	Ann	£147,535.00	£132,371.00	£15,164.00	£13,015.00	£0.00	£17,612.00	£83,778.00	£1,278.00	£5,657.00	£1,270.00	£0.00	£9,761.00	£422.00	£2,467.00	£9,765.00	£1,312.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£1,198.00	8
Bacon	Mr Richard	£147,498.00	£139,762.00	£7,736.00	£20,888.00	£0.00	£21,477.00	£90,163.00	£641.00	£2,500.00	£1,055.00	£0.00	£3,038.00	£4,843.00	£1,506.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£636.00	12	£0.00	0	£751.00	22
Ward	Claire	£147,200.00	£144,749.00	£2,451.00	£23,083.00	£0.00	£15,796.00	£94,755.00	£663.00	£1,130.00	£1,335.00	£0.00	£7,987.00	£2,451.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Prisk	Mr Mark	£147,195.00	£142,020.00	£5,175.00	£20,733.00	£0.00	£18,120.00	£92,176.00	£433.00	£1,645.00	£1,156.00	£103.00	£7,654.00	£2,678.00	£30.00	£0.00	£0.00	£1,130.00	£758.00	£0.00	£465.00	£0.00	0	£0.00	0	£114.00	14
Kirkbride	Miss Julie	£147,165.00	£137,626.00	£9,539.00	£23,083.00	£0.00	£21,274.00	£81,598.00	£1,360.00	£4,375.00	£1,187.00	£0.00	£4,749.00	£5,813.00	£653.00	£0.00	£0.00	£0.00	£0.00	£58.00	£1,239.00	£1,392.00	0	£0.00	0	£384.00	8
Baldry	Tony	£147,144.00	£141,993.00	£5,151.00	£23,083.00	£0.00	£11,124.00	£87,509.00	£784.00	£2,205.00	£1,159.00	£0.00	£16,129.00	£4,261.00	£36.00	£0.00	£0.00	£0.00	£0.00	£0.00	£699.00	£155.00	10	£0.00	0	£0.00	0
O'Hara	Mr Edward	£147,024.00	£135,878.00	£11,146.00	£20,711.00	£0.00	£20,914.00	£90,741.00	£220.00	£1,151.00	£1,127.00	£0.00	£1,014.00	£6,293.00	£4,335.00	£0.00	£340.00	£0.00	£0.00	£178.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Browne	Rt Hon Des	£146,941.00	£136,537.00	£10,404.00	£17,691.00	£0.00	£17,422.00	£87,337.00	£821.00	£2,204.00	£1,262.00	£5,303.00	£4,497.00	£0.00	£1,376.00	£8,168.00	£0.00	£0.00	£0.00	£0.00	£0.00	£721.00	4	£0.00	0	£139.00	2
Heath	Mr David	£146,813.00	£139,276.00	£7,537.00	£23,002.00	£0.00	£20,429.00	£84,508.00	£907.00	£2,260.00	£1,265.00	£0.00	£6,905.00	£5,744.00	£615.00	£0.00	£8.00	£0.00	£0.00	£0.00	£0.00	£603.00	7	£0.00	0	£567.00	15
Miller	Andrew	£146,802.00	£129,597.00	£17,205.00	£17,817.00	£0.00	£16,407.00	£84,011.00	£934.00	£2,993.00	£1,340.00	£0.00	£6,095.00	£2,391.00	£11,243.00	£0.00	£0.00	£0.00	£387.00	£0.00	£1,361.00	£818.00	6	£0.00	0	£1,005.00	8
Martlew	Mr Eric	£146,799.00	£134,324.00	£12,475.00	£21,632.00	£0.00	£19,152.00	£85,106.00	£677.00	£1,027.00	£1,258.00	£0.00	£5,472.00	£3,606.00	£8,113.00	£0.00	£92.00	£0.00	£0.00	£0.00	£0.00	£664.00	7	£0.00	0	£0.00	0
Main	Anne	£146,769.00	£142,030.00	£4,739.00	£22,091.00	£0.00	£13,246.00	£87,133.00	£740.00	£3,318.00	£1,298.00	£0.00	£14,204.00	£1,171.00	£3,544.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£24.00	1
Walley	Joan	£146,719.00	£134,210.00	£12,509.00	£12,017.00	£0.00	£17,926.00	£88,699.00	£862.00	£3,814.00	£1,203.00	£0.00	£9,689.00	£932.00	£10,517.00	£0.00	£96.00	£0.00	£0.00	£0.00	£0.00	£452.00	4	£0.00	0	£512.00	5
Keeble	Ms Sally	£146,712.00	£140,742.00	£5,970.00	£18,646.00	£0.00	£15,536.00	£85,357.00	£1,303.00	£2,305.00	£1,129.00	£0.00	£16,466.00	£3,393.00	£2,230.00	£0.00	£0.00	£77.00	£16.00	£0.00	£0.00	£25.00	2	£162.00	9	£67.00	3
Tapsell	Sir Peter	£146,681.00	£140,354.00	£6,327.00	£23,083.00	£0.00	£10,100.00	£100,790.00	£407.00	£2,584.00	£1,105.00	£0.00	£2,285.00	£1,380.00	£3,748.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£1,199.00	21	£0.00	0	£0.00	0
Hosie	Stewart	£146,658.00	£128,839.00	£17,819.00	£19,367.00	£0.00	£18,876.00	£77,501.00	£1,085.00	£785.00	£1,128.00	£0.00	£10,097.00	£1,598.00	£1,438.00	£12,038.00	£0.00	£0.00	£0.00	£0.00	£0.00	£236.00	2	£195.00	2	£2,314.00	17
Ainger	Nick	£146,530.00	£139,566.00	£6,964.00	£15,385.00	£0.00	£11,863.00	£98,205.00	£589.00	£1,760.00	£1,167.00	£0.00	£10,597.00	£5,413.00	£1,245.00	£0.00	£254.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£52.00	1
Morgan	Julie	£146,501.00	£136,443.00	£10,058.00	£9,754.00	£0.00	£17,336.00	£94,508.00	£901.00	£3,043.00	£1,319.00	£0.00	£9,582.00	£1,182.00	£7,388.00	£0.00	£104.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£1,384.00	24
Challen	Colin	£146,363.00	£129,239.00	£17,124.00	£11,412.00	£0.00	£12,843.00	£97,437.00	£1,020.00	£3,063.00	£1,275.00	£0.00	£2,189.00	£1,030.00	£10,775.00	£0.00	£846.00	£0.00	£173.00	£0.00	£1,114.00	£0.00	4	£0.00	0	£3,186.00	24
McCabe	Stephen	£146,360.00	£135,954.00	£10,406.00	£17,109.00	£0.00	£23,103.00	£84,464.00	£1,351.00	£1,945.00	£1,566.00	£0.00	£6,416.00	£874.00	£8,214.00	£0.00	£0.00	£0.00	£311.00	£0.00	£0.00	£0.00	0	£0.00	0	£1,007.00	8
Arbuthnot	Rt Hon James	£146,192.00	£141,026.00	£5,166.00	£23,083.00	£0.00	£17,170.00	£84,145.00	£568.00	£1,838.00	£1,430.00	£0.00	£12,792.00	£2,958.00	£1,156.00	£0.00	£165.00	£0.00	£255.00	£0.00	£0.00	£327.00	12	£232.00	27	£73.00	6
Williams	Mrs Betty	£146,087.00	£130,816.00	£15,271.00	£13,989.00	£0.00	£9,919.00	£98,588.00	£613.00	£5,938.00	£1,296.00	£0.00	£473.00	£4,218.00	£7,322.00	£0.00	£24.00	£0.00	£138.00	£0.00	£0.00	£0.00	0	£0.00	0	£3,569.00	32
Sutcliffe	Mr Gerry	£146,023.00	£128,047.00	£17,976.00	£11,640.00	£0.00	£19,854.00	£89,101.00	£419.00	£615.00	£1,415.00	£0.00	£5,003.00	£2,316.00	£12,981.00	£171.00	£102.00	£0.00	£91.00	£0.00	£0.00	£635.00	6	£0.00	0	£1,680.00	14
Cairns	David	£145,976.00	£135,151.00	£10,825.00	£23,075.00	£0.00	£24,946.00	£74,909.00	£903.00	£2,760.00	£1,154.00	£0.00	£7,404.00	£968.00	£953.00	£8,748.00	£156.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£0.00	0
Loughton	Tim	£145,975.00	£137,661.00	£8,314.00	£23,083.00	£0.00	£17,618.00	£92,413.00	£556.00	£1,084.00	£1,148.00	£0.00	£1,759.00	£4,037.00	£3,591.00	£0.00	£126.00	£258.00	£0.00	£0.00	£0.00	£262.00	15	£19.00	4	£21.00	2
Hutton	Rt Hon John	£145,948.00	£133,452.00	£12,496.00	£22,980.00	£0.00	£18,736.00	£87,082.00	£876.00	£1,837.00	£1,207.00	£0.00	£734.00	£5,101.00	£6,418.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£810.00	5	£0.00	0	£167.00	4
McIsaac	Shona	£145,794.00	£138,330.00	£7,464.00	£15,404.00	£0.00	£7,749.00	£91,091.00	£779.00	£1,915.00	£1,219.00	£5,190.00	£14,983.00	£5,577.00	£366.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£1,521.00	17	£0.00	0	£0.00	0
Truswell	Mr Paul	£145,773.00	£134,806.00	£10,967.00	£15,861.00	£0.00	£15,187.00	£90,299.00	£1,733.00	£5,165.00	£1,387.00	£0.00	£5,174.00	£1,899.00	£8,928.00	£0.00	£91.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£49.00	2
