														MP Travel: regular journeys between home/constituency/Westminster				MP Travel: Other				MP Spouse Travel		MP Family Travel		MP Employee Travel	
Member		TOTAL ALLOWANCES CLAIMED, INC TRAVEL	TOTAL BASIC ALLOWANCES, EXC TRAVEL	TOTAL TRAVEL CLAIMED	Cost of staying away from main home	London supplement	Office running costs	Staffing costs	Centrally purchased stationery	Stationery associated postage costs	Central IT provision	Staff cover and other costs	Comms allowance	Mileage	MP Rail	MP Air	MP Misc (see notes)	MP other Mileage	MP other Rail	MP other Air	MP other European	Spouse Total	No. of Journeys	Family Total	No. of Journeys	Employee Total	No. of Journeys
Byrne	Rt Hon Liam	£164,024.00	£155,705.00	£8,319.00	£23,083.00	£0.00	£20,273.00	£91,461.00	£2,519.00	£4,394.00	£2,721.00	£1,678.00	£9,576.00	£1,856.00	£4,566.00	£0.00	£417.00	£0.00	£0.00	£0.00	£0.00	£692.00	11	£435.00	10	£353.00	11
Godsiff	Mr Roger	£163,885.00	£153,072.00	£10,813.00	£23,083.00	£0.00	£16,376.00	£95,459.00	£1,441.00	£5,497.00	£1,208.00	£0.00	£10,008.00	£8,124.00	£187.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£1,416.00	30	£0.00	0	£1,086.00	23
Wareing	Mr Robert N.	£163,775.00	£148,621.00	£15,154.00	£19,683.00	£0.00	£29,250.00	£79,096.00	£239.00	£1,247.00	£924.00	£8,516.00	£9,666.00	£10,326.00	£3,034.00	£1,153.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£641.00	4
Lamb	Norman	£163,746.00	£155,937.00	£7,809.00	£23,083.00	£0.00	£22,951.00	£92,443.00	£1,822.00	£4,527.00	£1,111.00	£0.00	£10,000.00	£3,133.00	£3,492.00	£0.00	£14.00	£0.00	£550.00	£136.00	£0.00	£162.00	8	£25.00	2	£297.00	8
Ellman	Mrs Louise	£163,476.00	£148,100.00	£15,376.00	£22,831.00	£0.00	£14,530.00	£96,836.00	£654.00	£2,030.00	£1,277.00	£0.00	£9,942.00	£1,680.00	£11,258.00	£0.00	£0.00	£0.00	£0.00	£0.00	£0.00	£1,045.00	11	£0.00	0	£1,393.00	13
Donohoe	Mr Brian H.	£163,390.00	£137,859.00	£25,531.00	£23,083.00	£0.00	£20,254.00	£83,894.00	£609.00	£2,558.00	£1,291.00	£0.00	£6,170.00	£5,986.00	£1,249.00	£13,672.00	£2,487.00	£0.00	£0.00	£0.00	£0.00	£862.00	6	£0.00	0	£1,275.00	8
Bayley	Hugh	£163,319.00	£149,847.00	£13,472.00	£23,083.00	£0.00	£20,229.00	£91,614.00	£1,412.00	£4,117.00	£1,028.00	£0.00	£8,364.00	£5,556.00	£3,224.00	£218.00	£1,028.00	£185.00	£19.00	£0.00	£562.00	£1,677.00	18	£0.00	0	£1,003.00	12
Betts	Mr Clive	£163,255.00	£151,206.00	£12,049.00	£23,081.00	£0.00	£17,096.00	£94,748.00	£1,393.00	£3,542.00	£1,347.00	£0.00	£9,999.00	£5,111.00	£4,878.00	£0.00	£587.00	£202.00	£0.00	£0.00	£0.00	£0.00	0	£0.00	0	£1,271.00	14
Rennie	Willie	£163,202.00	£147,901.00	£15,301.00	£21,220.00	£0.00	£26,629.00	£82,164.00	£952.00	£2,870.00	£1,169.00	£0.00	£12,897.00	£1,623.00	£8,527.00	£3,272.00	£221.00	£0.00	£0.00	£0.00	£0.00	£334.00	2	£167.00	2	£1,157.00	7
Moore	Mr Michael	£163,098.00	£144,868.00	£18,230.00	£21,563.00	£0.00	£18,403.00	£89,873.00	£734.00	£3,324.00	£964.00	£0.00	£10,007.00	£2,926.00	£4,846.00	£6,749.00	£139.00	£0.00	£0.00	£0.00	£760.00	£2,484.00	16	£0.00	0	£326.00	4
